,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,labels
100,45,4,5663,12,13,2,10,0,4,1,0,0,38,38,1
101,14,4,502,9,12,0,10,1,4,1,0,0,58,38,0
102,4,4,1873,15,9,4,13,3,4,0,0,0,33,38,0
103,33,4,1222,9,12,0,4,4,4,1,0,0,43,38,1
104,7,4,4608,15,9,4,8,3,4,0,0,0,38,25,0
105,22,2,3621,15,9,4,11,1,2,0,0,0,38,38,1
106,44,4,5787,5,3,0,7,4,4,0,0,0,38,38,0
107,23,4,3546,11,8,2,14,0,4,1,0,0,38,38,0
108,32,4,647,15,9,3,1,1,4,0,0,0,38,38,0
109,12,4,5444,9,12,4,4,1,4,0,0,0,43,38,0
110,4,4,3667,15,9,4,1,3,4,0,0,0,15,38,0
111,36,4,4071,4,2,2,3,0,4,1,0,0,43,21,0
112,5,4,6316,11,8,4,7,1,4,0,0,0,46,38,0
113,36,0,4246,9,12,2,0,0,4,1,0,0,29,38,1
114,13,4,1230,15,9,2,1,5,4,0,0,0,38,38,0
115,8,7,1191,9,12,4,8,1,4,0,31,0,48,38,0
116,26,4,6916,14,14,2,10,0,4,1,97,0,58,38,1
117,39,4,1815,15,9,0,14,1,4,1,0,0,38,38,1
118,41,4,609,9,12,2,12,0,4,1,0,0,38,38,0
119,38,6,1555,11,8,2,3,0,4,1,0,0,58,38,0
120,34,4,4278,11,8,2,6,0,4,1,0,0,46,38,0
121,6,4,6202,11,8,4,4,1,4,1,0,0,38,38,0
122,11,4,6361,9,12,4,1,1,4,1,0,7,38,38,0
123,23,6,6334,14,14,4,10,1,4,1,0,56,43,38,1
124,26,5,240,15,9,2,4,0,4,1,0,0,38,38,0
125,3,4,256,15,9,4,5,3,4,1,0,0,58,38,0
126,39,4,4249,6,4,2,3,0,4,1,0,0,38,38,0
127,6,4,5890,15,9,4,1,1,4,0,0,0,29,38,0
128,4,4,5170,15,9,4,8,3,4,0,0,0,24,38,0
129,19,4,5318,15,9,2,3,0,4,1,41,0,48,8,0
130,24,4,5870,15,9,4,5,1,4,1,0,0,38,38,0
131,4,4,5743,15,9,4,12,2,4,0,0,0,38,38,0
132,8,4,5737,6,4,2,7,0,4,1,0,0,38,25,0
133,27,4,4872,4,2,2,7,0,2,1,0,0,38,38,0
134,30,2,4790,8,10,0,1,1,4,0,0,0,38,38,0
135,7,4,644,9,12,2,4,5,4,0,0,0,38,38,0
136,14,0,972,11,8,2,0,0,1,1,0,0,38,29,0
137,19,4,230,8,10,4,1,1,4,1,0,0,40,38,1
138,19,4,5335,15,9,2,4,0,4,1,0,0,58,38,1
139,43,7,2962,10,15,2,10,0,4,1,0,0,53,38,0
140,44,4,4225,5,3,6,8,1,2,0,0,0,20,38,0
141,7,6,5159,5,3,2,3,0,4,1,0,0,38,38,0
142,22,2,5212,12,13,0,10,1,2,1,0,0,38,6,0
143,21,4,3251,11,8,2,3,0,4,1,0,0,43,38,0
144,18,7,4597,15,9,4,11,1,2,1,0,0,38,38,0
145,15,6,6645,8,10,2,3,0,4,1,0,0,38,38,0
146,15,4,4180,11,8,2,3,0,4,1,0,0,38,38,0
147,30,4,2559,11,8,2,7,5,2,0,89,0,38,38,1
148,28,5,2571,14,14,2,10,0,4,1,0,0,33,38,1
149,18,4,6296,11,8,0,14,1,4,1,0,0,38,38,0
150,23,4,4943,15,9,0,3,1,4,1,0,0,58,38,0
151,30,1,1211,15,9,0,1,4,2,0,0,0,38,38,0
152,13,2,2080,9,12,2,10,0,4,1,0,0,38,38,1
153,15,4,4016,15,9,2,7,0,1,1,0,0,38,29,0
154,22,4,6527,15,9,4,13,4,2,0,0,0,38,38,0
155,0,4,807,6,4,4,3,3,4,0,0,0,15,38,0
156,19,4,6735,9,12,2,10,0,4,1,0,9,48,38,1
157,35,4,1536,10,15,4,4,1,4,1,0,0,38,38,1
158,33,4,6746,14,14,2,10,0,4,1,0,0,34,38,1
159,37,0,2172,15,9,2,0,0,4,1,0,0,48,38,0
160,10,4,6055,7,11,2,1,0,4,1,0,0,38,38,1
161,10,4,3939,11,8,4,14,1,2,1,20,0,38,38,0
162,34,2,2333,8,10,0,1,4,4,0,0,0,48,38,0
163,16,4,6505,7,11,2,12,0,1,1,0,0,58,38,0
164,44,7,6649,10,15,2,10,0,4,1,0,33,38,38,1
165,42,5,5436,14,14,2,10,0,4,1,0,0,53,38,1
166,25,4,5784,9,12,2,13,0,4,1,0,0,38,38,1
167,35,4,3485,12,13,2,13,0,4,1,0,0,43,38,0
168,27,6,1579,4,2,2,3,0,4,1,0,0,38,38,0
169,37,4,4768,4,2,3,8,4,2,0,0,0,29,14,0
170,31,0,3277,1,6,5,0,4,4,1,0,0,38,38,0
171,26,4,2077,9,12,0,8,1,4,0,0,0,38,38,0
172,1,4,5826,1,6,4,8,2,2,1,0,0,19,38,0
173,32,4,3387,9,12,2,8,0,4,1,0,0,38,38,0
174,25,7,2485,8,10,2,11,0,4,1,0,0,38,38,1
175,41,4,4301,7,11,0,1,1,4,1,0,31,38,38,0
176,8,4,1635,15,9,2,4,0,4,1,0,0,48,38,0
177,14,4,2695,11,8,4,10,3,4,1,0,0,38,38,0
178,10,4,5454,15,9,0,1,4,2,0,0,0,34,38,0
179,15,4,5175,1,6,0,7,4,4,0,0,0,38,38,0
180,38,4,6465,11,8,2,5,0,4,1,0,0,43,38,1
181,32,4,334,9,12,4,4,1,4,0,0,0,54,38,1
182,2,4,5670,11,8,4,8,3,4,1,0,0,19,38,0
183,41,4,6520,11,8,2,3,0,2,1,0,0,38,38,0
184,2,0,1722,11,8,4,0,3,4,1,0,0,29,38,0
185,28,4,1785,8,10,2,3,0,4,1,0,0,38,38,0
186,17,1,3875,15,9,4,1,1,2,0,0,0,67,38,0
187,28,7,2627,11,8,0,4,4,4,0,0,0,36,38,1
188,27,4,3094,11,8,2,3,0,4,1,0,0,38,38,1
189,17,4,246,15,9,4,8,1,4,1,0,0,48,38,0
190,40,4,6165,11,8,2,3,0,4,1,0,0,38,38,0
191,31,4,239,11,8,2,5,0,4,1,0,0,66,38,0
192,26,6,2423,14,14,2,10,0,4,1,0,0,29,38,1
193,13,4,4485,8,10,2,3,0,4,1,0,0,38,9,0
194,22,4,3528,11,8,2,10,0,4,1,0,0,43,38,0
195,23,4,2633,11,8,2,7,0,4,1,0,0,38,38,1
196,18,4,4512,11,8,0,4,4,4,0,0,0,48,38,0
197,1,4,1490,15,9,4,12,3,4,0,0,0,29,38,0
198,23,4,2443,12,13,2,4,0,4,1,0,0,38,38,1
199,15,4,5805,15,9,2,13,0,4,1,0,0,48,38,0
200,38,7,4249,9,12,2,10,0,4,1,0,0,14,38,0
201,1,4,264,11,8,4,14,1,2,1,0,0,33,38,0
202,2,7,1995,15,9,4,8,3,4,1,0,0,9,38,0
203,6,4,2046,15,9,4,8,1,4,1,0,0,24,38,0
204,12,1,214,7,11,0,1,1,4,0,0,0,38,38,0
205,6,4,5640,9,12,4,10,1,4,1,0,0,48,38,0
206,6,4,6161,9,12,4,1,1,4,1,0,0,29,38,0
207,44,4,4095,5,3,3,7,1,4,1,0,0,38,13,0
208,7,4,5172,15,9,4,4,1,4,1,0,0,40,38,0
209,36,4,2979,15,9,4,3,1,4,1,0,0,38,38,0
210,16,4,678,15,9,4,12,1,2,1,0,0,33,38,0
211,36,7,5336,10,15,2,10,0,4,1,0,0,48,38,1
212,5,4,884,15,9,4,12,3,4,1,0,0,24,38,0
213,10,4,4529,7,11,4,12,1,4,1,0,0,40,38,0
214,2,4,3520,15,9,4,1,3,4,0,0,0,38,38,0
215,28,4,4421,9,12,2,4,0,4,1,89,0,58,38,1
216,34,7,4122,11,8,0,3,4,4,1,0,0,36,38,0
217,23,5,4927,11,8,2,4,0,4,1,0,0,38,38,0
218,39,7,2383,9,12,6,10,1,4,0,0,0,38,38,0
219,12,4,483,11,8,4,3,1,4,1,0,0,48,38,0
220,2,4,5612,11,8,4,12,3,4,0,0,0,38,38,0
221,34,4,5649,5,3,6,8,4,2,0,0,0,38,38,0
222,16,4,5967,12,13,2,13,0,4,1,0,0,14,38,0
223,15,4,1857,0,5,4,7,3,4,1,0,0,38,25,0
224,36,6,2557,0,5,3,14,1,4,1,0,0,80,38,0
225,37,4,560,11,8,2,3,0,4,1,0,0,38,38,0
226,36,4,5618,8,10,2,4,0,4,1,0,0,38,38,1
227,28,6,5271,2,7,0,3,2,2,1,0,0,33,38,0
228,48,0,4099,15,9,2,0,0,4,1,0,0,29,38,1
229,25,1,446,11,8,5,1,4,2,0,0,0,38,38,0
230,31,4,5619,15,9,2,3,0,4,1,0,0,43,38,1
231,6,4,3501,3,1,2,7,5,0,0,0,0,33,25,0
232,7,4,4264,11,8,2,3,0,4,1,0,0,58,25,1
233,9,4,1844,7,11,4,4,3,2,0,0,0,38,38,0
234,26,4,6714,15,9,2,1,5,2,0,0,0,36,38,1
235,4,7,2931,15,9,4,6,3,4,1,0,0,38,38,0
236,2,4,4931,11,8,4,8,3,2,0,0,0,38,38,0
237,38,2,4549,12,13,2,10,0,4,1,0,0,38,38,1
238,26,5,3213,15,9,2,12,0,4,1,97,0,53,38,1
239,21,4,227,11,8,4,7,2,4,1,0,0,38,38,0
240,3,4,6709,11,8,4,12,2,4,1,0,0,58,38,0
241,32,4,5407,5,3,2,14,0,4,1,27,0,48,38,0
242,31,6,5597,7,11,2,10,0,4,1,0,0,38,38,0
243,8,4,2783,9,12,4,10,1,4,1,0,0,38,38,0
244,35,5,5541,15,9,2,4,0,4,1,0,0,58,38,1
245,1,4,349,1,6,4,6,3,4,1,0,0,23,38,0
246,11,0,6080,11,8,2,0,5,4,0,0,0,16,15,0
247,6,4,3874,15,9,4,8,3,4,0,0,0,38,38,0
248,58,6,3653,1,6,2,4,0,4,1,0,0,29,38,0
249,16,5,5209,10,15,2,10,0,4,1,0,0,58,38,0
250,20,4,862,9,12,2,4,0,4,1,0,0,48,38,1
251,24,4,5888,11,8,2,3,0,4,1,0,0,38,38,0
252,3,0,6694,15,9,4,0,3,4,0,0,0,38,38,0
253,18,4,6938,11,8,4,3,1,4,1,0,7,38,38,0
254,31,4,6286,11,8,6,8,4,4,0,0,0,38,38,0
255,1,4,3112,5,3,4,8,3,4,0,0,0,38,38,0
256,4,4,5707,8,10,4,8,1,4,0,0,0,48,38,0
257,16,1,6447,15,9,2,4,5,2,0,0,0,38,38,1
258,26,2,1066,12,13,2,10,5,2,0,0,0,33,38,1
259,6,4,3990,9,12,4,13,3,4,0,0,0,38,38,0
260,6,4,902,15,9,2,1,0,4,1,0,0,38,38,0
261,55,4,4942,10,15,4,10,1,4,1,0,0,29,38,0
262,45,0,3364,11,8,2,0,0,4,1,0,0,38,38,0
263,19,4,5266,9,12,2,3,0,4,1,0,0,48,38,1
264,2,0,2132,15,9,4,0,3,4,0,0,0,19,38,0
265,19,4,95,15,9,2,3,0,4,1,0,0,48,38,0
266,25,4,5340,11,8,2,3,0,2,1,0,0,38,38,1
267,14,4,2146,8,10,2,4,5,2,0,0,0,41,38,0
268,12,0,4520,11,8,4,0,1,4,1,0,0,33,38,0
269,28,4,6949,12,13,2,13,0,4,1,0,0,17,38,1
270,28,4,1206,11,8,0,1,1,4,0,0,0,38,2,0
271,6,0,5188,15,9,4,0,3,4,1,0,0,29,38,0
272,24,4,6612,9,12,6,4,4,4,1,0,0,19,38,0
273,18,4,698,11,8,2,7,0,4,1,0,0,38,38,0
274,5,4,899,11,8,4,8,1,4,0,0,0,24,38,0
275,32,2,1828,0,5,5,8,4,2,0,0,0,38,38,0
276,18,4,3762,9,12,4,8,1,4,0,0,0,43,38,0
277,8,4,1945,7,11,2,6,0,2,1,0,0,38,22,0
278,14,4,246,14,14,4,10,1,4,1,0,0,48,38,0
279,47,4,3982,11,8,6,1,1,4,0,0,0,29,38,0
280,42,4,2756,6,4,2,7,0,4,1,0,0,38,38,0
281,6,4,1940,15,9,0,1,1,4,1,0,0,38,38,0
282,28,4,1430,11,8,0,1,4,4,0,0,0,38,38,0
283,18,6,6664,11,8,2,5,0,4,1,0,0,53,38,0
284,16,4,3433,9,12,2,10,0,4,1,0,0,38,38,1
285,26,4,3024,1,6,2,6,5,4,0,0,0,24,38,0
286,24,7,1467,11,8,4,14,1,4,0,87,0,38,38,1
287,63,4,2489,14,14,2,10,0,4,1,0,0,33,38,1
288,11,4,3359,7,11,4,10,3,4,1,0,0,38,10,0
289,21,4,1148,15,9,2,1,5,2,0,0,0,38,38,0
290,5,4,3689,11,8,4,6,3,4,1,0,0,15,38,0
291,9,4,5730,15,9,2,12,0,4,1,0,0,38,38,0
292,18,6,4327,12,13,2,4,0,4,1,77,0,53,38,1
293,30,4,5450,15,9,2,4,0,4,1,0,0,48,38,1
294,2,7,611,2,7,4,14,3,2,1,0,0,19,38,0
295,41,4,1547,9,12,2,10,0,4,1,0,0,38,38,1
296,13,4,1600,15,9,4,8,1,4,1,0,0,23,38,0
297,0,4,5118,11,8,4,5,3,2,1,0,0,38,38,0
298,38,6,6465,7,11,2,12,0,4,1,0,0,58,38,0
299,22,4,1582,11,8,0,8,1,3,0,0,0,38,6,0
300,32,2,3295,12,13,2,4,0,2,1,0,0,45,38,1
301,35,4,6356,15,9,2,4,0,4,1,89,0,43,38,1
302,18,4,3753,9,12,2,12,0,4,1,0,0,48,38,1
303,21,4,4579,7,11,2,13,0,4,1,0,0,38,38,1
304,34,4,4159,15,9,2,4,0,4,1,0,0,43,38,1
305,19,6,2252,11,8,2,5,0,4,1,0,0,66,38,0
306,17,4,3579,11,8,0,4,3,4,1,0,0,42,38,0
307,20,4,6156,9,12,4,1,2,2,0,0,0,38,38,0
308,11,4,6091,9,12,4,11,1,4,0,0,0,38,38,0
309,36,4,2521,11,8,2,7,0,4,1,0,0,38,38,0
310,21,4,1405,11,8,2,14,0,4,1,0,0,38,38,0
311,29,4,5575,11,8,2,7,0,4,1,0,0,38,38,0
312,42,4,4981,9,12,2,12,0,4,1,0,0,35,38,1
313,9,0,4537,15,9,4,0,3,4,1,0,0,11,38,0
314,14,4,3099,12,13,4,10,1,4,1,0,0,29,38,0
315,6,6,5519,9,12,4,1,3,4,1,0,47,38,38,1
316,17,4,3767,7,11,4,12,4,4,1,0,0,48,38,0
317,3,0,3545,15,9,4,0,3,4,1,0,0,38,38,0
318,23,4,4677,9,12,4,8,1,4,1,0,0,35,38,0
319,5,4,6799,11,8,3,12,1,4,1,0,0,53,38,0
320,39,4,2140,12,13,4,12,1,4,1,0,0,48,38,0
321,19,4,4683,11,8,0,10,3,4,0,0,0,38,38,1
322,7,4,2012,2,7,4,3,2,4,1,0,0,38,38,0
323,18,1,3678,9,12,4,10,3,4,0,0,0,38,38,0
324,17,4,1947,11,8,2,14,0,4,1,0,0,38,38,0
325,12,0,3073,15,9,0,0,4,4,0,0,0,29,38,0
326,6,0,977,15,9,4,0,1,4,0,0,0,14,38,0
327,20,4,1022,15,9,2,14,0,4,1,0,0,43,38,0
328,43,4,5032,5,3,0,1,1,4,0,0,0,33,5,0
329,45,4,3626,15,9,2,4,0,4,1,0,0,38,38,0
330,1,4,5667,1,6,4,4,3,4,0,0,0,19,38,0
331,9,4,5742,15,9,2,11,0,4,1,0,0,38,38,0
332,16,4,4206,11,8,0,13,1,4,0,0,0,38,38,0
333,20,4,6988,12,13,4,10,1,4,0,0,0,36,38,1
334,33,4,139,8,10,2,14,0,4,1,0,0,43,38,0
335,6,4,6327,11,8,4,1,3,2,0,0,0,38,38,0
336,28,4,3470,9,12,2,3,0,4,1,40,0,38,38,1
337,27,2,4176,15,9,0,8,4,4,0,0,0,38,38,0
338,24,7,5943,15,9,2,1,5,4,0,40,0,38,38,1
339,28,4,4695,10,15,6,10,4,4,1,88,0,38,19,1
340,19,1,514,9,12,2,1,0,4,1,0,0,48,38,1
341,34,4,5664,6,4,2,14,0,4,1,0,0,38,38,0
342,2,1,5107,11,8,4,1,4,2,0,0,0,38,38,0
343,32,4,6759,11,8,0,8,4,2,0,0,0,30,38,0
344,3,0,975,15,9,4,0,3,4,0,0,0,9,38,0
345,20,7,479,11,8,0,1,4,4,0,0,0,33,38,0
346,4,4,1798,11,8,4,3,3,4,1,0,0,38,38,0
347,42,4,3130,9,12,2,4,0,4,1,0,36,48,38,1
348,29,4,3709,11,8,0,14,1,4,1,0,0,38,38,0
349,49,2,2735,11,8,6,14,1,2,0,0,0,38,38,0
350,30,6,6944,9,12,0,12,1,4,1,0,0,48,38,0
351,16,2,232,15,9,2,11,0,4,1,0,0,38,38,1
352,10,4,5882,11,8,4,7,3,4,0,0,0,30,38,0
353,27,4,1586,6,4,0,8,3,4,0,0,0,48,38,0
354,32,4,2709,8,10,0,4,1,4,1,0,0,43,38,1
355,27,7,3636,9,12,4,1,1,4,0,0,0,36,38,0
356,12,4,6713,9,12,4,10,1,4,1,0,0,38,38,0
357,5,7,5569,15,9,4,1,1,4,0,0,0,38,38,0
358,24,4,1280,11,8,0,12,4,2,0,0,0,38,38,0
359,31,4,5468,15,9,4,6,1,4,1,0,0,38,38,0
360,28,4,4284,8,10,2,5,0,4,1,0,0,66,38,0
361,5,4,4714,15,9,4,14,3,4,1,0,0,38,38,0
362,4,4,1781,8,10,4,3,3,4,1,0,10,38,38,0
363,5,4,585,11,8,4,8,3,4,1,0,0,38,38,0
364,24,4,1742,11,8,2,4,0,4,1,0,9,38,38,1
365,37,4,3401,11,8,0,1,4,4,0,0,0,40,38,0
366,27,4,2457,15,9,0,1,3,4,1,87,0,38,38,1
367,22,4,5506,15,9,4,7,3,4,1,0,0,38,38,0
368,18,4,100,8,10,4,14,1,4,1,0,0,38,38,0
369,35,4,1797,11,8,2,7,0,4,1,0,0,38,38,0
370,9,4,4510,15,9,0,6,1,4,1,0,0,43,38,0
371,12,4,5583,8,10,0,8,4,4,0,0,0,43,4,0
372,28,4,6267,14,14,4,10,1,4,1,0,0,38,38,1
373,3,4,2475,11,8,4,1,3,4,0,0,0,38,38,0
374,15,4,3802,9,12,4,1,3,4,0,0,0,38,38,0
375,21,4,1512,8,10,2,7,0,4,1,0,0,38,38,0
376,26,4,6002,15,9,2,14,0,4,1,0,0,38,38,0
377,11,4,471,9,12,4,1,1,4,0,0,0,38,38,0
378,19,4,5394,3,1,4,8,2,3,0,0,0,38,8,0
379,44,4,4332,11,8,4,1,1,4,0,0,0,38,38,0
380,38,4,6145,11,8,2,3,0,4,1,0,0,38,38,1
381,16,4,3435,15,9,4,1,1,4,1,0,0,47,38,0
382,12,4,3598,9,12,4,10,1,3,0,0,15,38,38,0
383,6,2,4795,1,6,2,6,0,4,1,0,0,38,38,0
384,30,2,5691,15,9,4,1,1,2,1,0,0,38,38,0
385,24,4,5886,11,8,2,3,0,4,1,0,0,38,38,1
386,23,4,1246,11,8,0,1,1,4,0,0,0,30,38,0
387,23,4,4831,2,7,0,3,1,4,1,0,0,38,38,0
388,34,4,3625,8,10,5,10,4,4,0,0,0,38,38,0
389,22,4,2926,15,9,4,14,4,4,1,0,0,38,38,0
390,34,7,864,8,10,0,10,4,4,0,0,0,38,38,0
391,1,0,6449,2,7,4,0,3,2,1,0,0,24,38,0
392,40,6,1269,12,13,2,10,0,4,1,0,0,38,38,1
393,16,1,312,14,14,2,10,5,4,0,0,0,38,38,1
394,9,4,6221,9,12,4,10,1,4,0,0,0,43,38,0
395,22,4,5518,9,12,2,13,0,1,1,41,0,38,0,0
396,40,6,2236,7,11,2,8,0,4,1,0,0,38,19,0
397,24,4,6603,15,9,2,1,5,4,0,0,0,38,38,1
398,9,1,3715,15,9,4,1,4,4,0,0,0,14,38,0
399,31,2,6667,11,8,2,3,0,4,1,0,0,58,38,0
400,6,4,6654,15,9,2,1,0,4,1,0,0,38,38,1
401,31,5,576,14,14,2,10,0,4,1,89,0,38,38,1
402,46,0,1501,11,8,2,0,0,4,1,0,0,53,38,1
403,14,4,5334,15,9,2,3,0,4,1,0,0,43,38,0
404,4,4,120,11,8,4,8,1,4,0,0,0,48,38,0
405,28,4,2672,11,8,2,3,0,4,1,0,0,38,38,1
406,22,5,3803,8,10,2,4,0,4,1,0,0,58,38,1
407,3,4,4639,15,9,4,12,3,4,0,0,0,29,38,0
408,3,4,5855,11,8,4,8,2,2,1,0,0,24,38,0
409,18,5,1020,15,9,2,12,0,4,1,0,0,48,38,1
410,2,6,4041,15,9,4,8,3,4,0,0,0,38,25,0
411,17,5,6493,15,9,2,4,0,4,1,0,0,38,38,1
412,3,4,5940,15,9,4,8,3,4,1,0,0,33,38,0
413,36,4,6373,14,14,4,10,1,4,0,0,0,38,38,0
414,24,4,6779,11,8,4,8,1,4,1,0,0,5,19,0
415,5,0,4587,15,9,4,0,1,2,0,0,0,33,38,0
416,17,4,6776,15,9,4,3,1,2,1,0,0,27,38,0
417,11,4,4187,9,12,4,10,1,4,1,0,0,53,38,1
418,25,4,1777,7,11,2,13,0,4,1,0,0,38,38,0
419,7,4,3,11,8,0,12,4,0,0,0,0,46,38,0
420,15,7,6948,4,2,4,7,3,4,0,0,0,9,38,0
421,19,5,4649,7,11,2,4,0,4,1,0,0,38,38,1
